year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Sanchez, Anibal,434671,Nationals,WSH,R,90.2,809,2690,16.60493827160493827,0.30074349442379182,FF,4-Seamer,16.6,-17.5,0.9,5,3.3,-6.7,-3.4,-50,0.7,0.134883720930233
2019,Gray, Sonny,543243,Reds,CIN,R,93.3,803,2909,17.95679012345679012,0.27603987624613269,FF,4-Seamer,16.1,-16,-0.2,-1,1.9,-7.7,-5.8,-75,0.474418604651163,0.0325581395348837
2019,Beeks, Jalen,656222,Rays,TB,L,92,801,1821,11.24074074074074074,0.43986820428336079,FF,4-Seamer,15.7,-16.4,0.6,4,5.2,-6.9,-1.6,-24,0.658139534883721,0.318604651162791
2019,Pivetta, Nick,601713,Phillies,PHI,R,94.6,798,1619,9.99382716049382716,0.49289684990735021,FF,4-Seamer,12.8,-14.6,1.8,12,9.9,-7,2.9,41,0.869767441860465,0.816279069767442
2019,Wojciechowski, Asher,592879,Orioles,BAL,R,91.5,791,1467,9.05555555555555555,0.53919563735514655,FF,4-Seamer,15.2,-16.7,1.5,9,3.5,-7.2,-3.6,-51,0.809302325581395,0.113953488372093
2019,Urias, Julio,628711,Dodgers,LAD,L,95.1,777,1344,8.29629629629629629,0.57812500000000000,FF,4-Seamer,13.6,-15.2,1.6,10,2.2,-7.7,-5.5,-71,0.832558139534884,0.0441860465116279
2019,Pannone, Thomas,623381,Blue Jays,TOR,L,89.7,774,1255,7.74691358024691358,0.61673306772908366,FF,4-Seamer,18.6,-19.7,1.1,6,12.2,-8.3,3.9,48,0.730232558139535,0.9
2019,Hernandez, Elieser,622694,Marlins,MIA,R,90.6,773,1442,8.90123456790123456,0.53606102635228848,FF,4-Seamer,16,-18.1,2.1,12,7.2,-7.7,-0.5,-6,0.906976744186046,0.423255813953488
2019,German, Domingo,593334,Yankees,NYY,R,93.4,772,2247,13.87037037037037037,0.34356920338228749,FF,4-Seamer,16.3,-16.4,0.2,1,10.3,-8.2,2.1,26,0.56046511627907,0.734883720930233
2019,Newcomb, Sean,656794,Braves,ATL,L,94.3,770,1181,7.29012345679012345,0.65198983911939034,FF,4-Seamer,14.8,-15.2,0.4,3,5.5,-7.3,-1.8,-24,0.6,0.290697674418605
